MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21901423,1249000,85718,-110.912026,32.29085,2.27,10741.76,1994,4,6,5462,3,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Reverse Osmosis, Warming Drawer, Water Purifier, Appliance Color: Stainless, Microwave: Stainless",2,"Carpet, Wood, Other: Travertine Tile",208
21912917,1110000,85718,-110.942159,32.341405,1.31,10049.43,1999,3,4,3725,3,"Compactor, Desk, Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Water Purifier",4,"Carpet, Natural Stone",175
21603062,1220000,85718,-110.890353,32.291517,0.86,10091.36,2010,3,5,3810,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone, Wood",175
21212194,1140000,85718,-110.917248,32.299075,1.88,8196,2004,4,5,5092,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Other",108
21329530,1065000,85755,-110.993613,32.46837,1.11,20718,2009,4,7,6385,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Natural Stone, Wood",153
21609933,1150000,85750,-110.844303,32.300646,0.84,12192.86,1999,5,6,6191,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",40
21127086,1150000,85718,-110.913485,32.289147,1.31,11809,1995,4,5,4952,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile",193
21726794,1185000,85718,-110.892288,32.332135,1.3,17693.15,1973,5,6,9548,3,"Compactor, Dishwasher, Freezer, Island, Refrigerator, Wet Bar, Countertops: GRANITE",3,"Carpet, Ceramic Tile, Natural Stone",258
21908057,1120000,85718,-110.920459,32.288939,1.89,10779.68,2002,4,6,4022,3.5,"Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Dacor Stainless, Oven: Electric Double Oven",3,Mexican Tile,208
21905857,1100000,85718,-110.93742,32.338307,2.65,13083.4,2009,5,4,4561,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Cabinet, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Microwave: Dacor, Oven: Dacor",2,"Carpet, Natural Stone",175
21514455,1100000,85718,-110.917571,32.301257,1.26,7202.38,2007,4,5,4850,3,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave",4,"Ceramic Tile, Indoor/Outdoor, Wood, Other",125
21528577,1075000,85718,-110.928069,32.318568,1.23,7010.07,2003,4,4,4022,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,Concrete,4
21529721,1150000,85749,-110.714713,32.241045,27.1,12227.01,1987,4,3,3855,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",19
21600216,1119000,85755,-111.008468,32.467491,1.06,15243.2,2012,4,5,4085,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave",1,Natural Stone,166
21601641,1000000,85745,-111.040904,32.224596,3.31,11587.55,2008,4,4,4661,3,"Compactor, Dishwasher, Garbage Disposal, Microwave, Oven",3,"Carpet, Natural Stone",125
21607623,1200000,85641,-110.648189,31.94281,277,6785.52,1946,7,7,5517,0,"Dishwasher, Oven",5,"Ceramic Tile, Concrete, Mexican Tile, Other",0
21514074,1015000,85749,-110.717757,32.246043,3.3,7302.25,1963,4,5,5474,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Mexican Tile,0
21613647,1200000,85718,-110.925289,32.315217,1.02,10372.86,2005,5,6,4984,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Concrete,187
21510748,950000,85646,-111.0734,31.61953,4.4,13193.8,2008,3,7,6614,4,"Dishwasher, Refrigerator",3,"Mexican Tile, Wood",0
21610173,1100000,85718,-110.921615,32.31207,1.11,10324.65,2004,5,5,4678,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,Concrete,186
21205951,1100000,85737,-111.024212,32.397247,3.3,11689,2007,4,6,5264,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,Concrete,0
21300141,1050000,85718,-110.921177,32.296442,1.2,8265.17,2002,4,4,4197,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Concrete, Other","1,600"
21716600,1200000,85749,-110.81588,32.255156,4,5115.24,2003,3,3,2454,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Wood",0
21800349,1200000,85755,-111.011401,32.468677,2,2702,2018,4,4,4158,3,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: -, Oven: -",1,"Natural Stone, Other: Travertine",212
3055989,950000,85646,-111.073405,31.619537,4.4,13193.8,2008,3,7,None,4,"Compactor, Dishwasher, Double Sink, Pantry: Butler, Refrigerator, Countertops: GRANITE, Microwave",3,"Mexican Tile, Wood, Other",None
21123083,1075000,85750,-110.83704,32.317724,0.49,9491,1993,4,5,4589,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0,"Carpet, Natural Stone",117
